Issuer_Name,Issuer_Location,Issuer_Sector,Interest_Rate,Credit_Rating,Credit_Rating_Numeric,ESG_Score,Market_Demand,Inflation_Rate,Government_Support,Project_Risk,Risk_Involved,Liquidity,Currency_Risk,Issuer_Reputation,Bond_Price
ABSA GROUP LTD,South Africa,Financials - Banking,0.592630224,BB,5,82.58198802,131.3723344,2.265293721,8.179041768,7.51679767,High Risk,2.045936143,3.53568759,70.10752381,102.3831504
ABU DHABI COMMERCIAL BANK P.J.S.C.,United Arab Emirates,Financials - Banking,4.864594335,BBB,4,86.92987291,144.0503953,1.132289298,0.383638614,4.228684091,Medium Risk,1.815079616,1.648560877,53.33110437,101.6885624
ABU DHABI NATIONAL ENERGY CO PJSC,United Arab Emirates,Corporate - Utilities,4.245991884,A,3,65.78136719,114.8765386,1.210161428,8.707971723,5.171503623,Medium Risk,0.13981713,1.953751739,75.80254112,103.6620835
AC ENERGY FINANCE INTERNATIONAL LTD,Cayman Islands,Corporate - Utilities,1.455525998,BB,5,82.2416302,145.4565929,2.384091394,5.127498998,3.69998886,Medium Risk,7.718054685,3.704046824,67.29862439,103.7637725
ACCESS BANK PLC,Nigeria,Financials - Banking,1.318212352,B,6,69.75654538,65.14323144,2.98981878,3.982502349,7.407798672,High Risk,8.750345312,3.007355504,83.61126903,94.00701829
ACCIONA ENERGIA FINANCIACION FILIALES SA,Spain,Corporate - Energy,1.325320294,AA,2,85.66034416,97.74161895,1.746883346,4.971672807,7.841871792,High Risk,6.141627026,3.358214607,97.55164624,101.0850337
ACCIONA FINANCIACION FILIALES SA,Spain,Corporate - Industrials,1.869090093,A,3,59.96076374,110.1806734,1.274901287,6.674155305,7.632851902,High Risk,1.881999817,1.945823083,74.2804159,100.8258383
ACEA S.P.A.,Italy,Corporate - Utilities,2.861403942,B,6,94.51075013,108.1736647,3.101034821,0.127654265,7.226117248,High Risk,2.852779969,2.439067409,73.30951151,95.87582801
ACEF HOLDING SCA,Luxembourg,Financials - Real estate,2.443752584,BBB,4,64.37047982,90.14617791,2.507804875,8.715518565,2.045043387,Low Risk,4.759266974,4.94933742,82.72924001,101.0196366
ACEN FINANCE LTD,Cayman Islands,Corporate - Utilities,1.810531131,BB,5,68.38929939,83.80844094,1.844256462,4.467395253,3.379699792,Medium Risk,9.543459516,1.069614352,55.17487518,98.08076638
ACHMEA BV,Netherlands,Financials - Insurance,3.253338026,AA,2,52.9045976,62.68240226,1.963700586,3.429665197,4.69845435,Medium Risk,2.473513718,2.089280933,62.67530945,95.32261056
ACORN PROJECT TWO LLP,Kenya,Financials - Real estate,1.127722373,A,3,55.57561062,89.17424506,1.112769404,1.382455656,3.307929914,Medium Risk,7.316459039,1.459115938,95.94896628,98.38273048
ACS SERVICIOS COMUNICACIONES Y ENERGIA SL,Spain,Corporate - Industrials,1.814650918,B,6,75.79309514,66.26608151,2.38040789,4.394653744,7.549402002,High Risk,4.394482233,3.825557552,83.49713067,94.08070471
ACTIVIA PROPERTIES INC,Japan,Financials - Real estate,2.148628295,B,6,63.37963384,123.4365676,1.576227532,4.963227713,3.293535242,Medium Risk,2.978473484,3.820063128,50.6722022,99.5494947
ADANI GREEN ENERGY LTD,India,Corporate - Utilities,2.552314929,AA,2,91.77401129,70.88309355,3.48693553,4.036466945,1.382320868,Low Risk,4.55915937,1.462227305,60.23127363,98.7986365
ADANI GREEN ENERGY UP LTD / PRAYATNA DEVELOPERS PVT LTD / PARAMPUJYA SOLAR ENERG,India,Corporate - Utilities,4.033291826,BBB,4,50.73466943,55.85653053,1.940550546,6.786600938,3.99040452,Medium Risk,0.712067175,0.406951583,84.1418633,96.55901307
ADANI RENEWABLE ENERGY RJ LTD/KODANGAL SOLAR PARKS PVT LTD/WARDHA SOLAR MAHARASH,India,Corporate - Utilities,1.39853202,AA,2,68.95470243,105.2366138,1.957656819,4.208965288,9.799144328,High Risk,7.986873709,0.057163383,88.21996013,100.6645549
ADIF ALTA VELOCIDAD,Spain,SSA - Agencies,2.814054973,B,6,66.86727734,109.5229733,2.197555362,9.614175778,2.258814129,Low Risk,2.43301928,2.137252666,91.99297863,102.9670932
ADVANCE RESIDENCE INVESTMENT CORP,Japan,Financials - Real estate,3.16586556,AAA,1,50.96638155,137.1913061,3.250268009,5.992775178,6.121586589,Medium Risk,7.254121232,2.051687972,64.60884017,103.9196188
ADVANCED SOLTECH SWEDEN AB,Sweden,Corporate - Energy,0.709026857,A,3,56.21841995,107.6981612,2.9024543,8.074779357,4.329730498,Medium Risk,0.683483714,4.941949393,96.55142981,101.1308692
AEDAS HOMES OPCO SLU,Spain,Financials - Real estate,3.233951834,AA,2,70.68213375,84.54808537,1.853390209,1.093559031,0.710245676,Low Risk,9.550985562,2.349010378,77.64734468,99.41642051
AEON REIT INVESTMENT CORP,Japan,Financials - Real estate,1.267358557,B,6,74.64322922,130.3011882,2.656097798,3.972912929,4.87876606,Medium Risk,1.930149854,1.282091848,84.82695112,100.4708763
AEROPORTI DI ROMA S.P.A.,Italy,Corporate - Industrials,0.792732168,BBB,4,70.21448736,104.0278893,2.258706496,3.368477014,7.021643286,High Risk,8.827420762,4.456147205,79.83694314,98.31327292
AES ANDES S.A.,Chile,Corporate - Utilities,4.769984918,B,6,76.54688392,57.92802846,1.977101146,5.694823881,5.132199758,Medium Risk,8.094732096,2.455339748,56.13700273,95.57041261
AES CAJUINA AB1 HOLDINGS SA,Brazil,Corporate - Utilities,4.845344149,BBB,4,79.75658375,106.585056,1.076947318,8.611135201,8.721060637,High Risk,9.678599241,2.995878176,98.15573297,103.8243418
AES CORP/THE,United States,Corporate - Utilities,4.137788067,AA,2,50.49619106,140.8018545,1.89180879,0.783382178,2.889370167,Low Risk,4.778906609,0.478343552,56.14377899,101.9596999
AFRICA FINANCE CORP,Supranationals,SSA - Supranationals,1.870761961,BBB,4,73.20475797,89.63126255,1.237455761,0.72574798,0.862491713,Low Risk,7.273972938,1.914582037,62.74409782,97.89602491
AFRICAN DEVELOPMENT BANK,Supranationals,SSA - Supranationals,0.939524513,BB,5,98.17496204,79.63258019,3.24452645,8.503177082,9.365656117,High Risk,3.70710657,4.721118372,90.68139401,98.22484974
AGDER ENERGI AS,Norway,Corporate - Utilities,3.579048619,BB,5,75.95161401,64.3469457,1.50622044,2.12850086,3.781963495,Medium Risk,1.84368238,2.947526921,80.92984808,94.70022619
AGENCE FRANCAISE DE DEVELOPPEMENT EPIC,France,SSA - Quasi-sovereigns,2.480686222,BB,5,83.87711337,65.14455219,3.356792044,6.687532544,5.764055515,Medium Risk,4.430759329,1.722509276,91.90745827,97.30620519
AGENCE METROPOLITAINE DES DECHETS MENAGERS,France,Corporate - Industrials,1.049172057,AAA,1,65.5931929,93.27714843,2.09916587,5.428781324,7.920031261,High Risk,1.657490154,3.128335903,75.78680942,99.14364283
AGRICULTURAL BANK OF CHINA LTD/HONG KONG,China (mainland),Financials - Banking,2.728296096,AA,2,88.69956891,109.5679824,2.394633136,8.328935949,3.243136639,Medium Risk,9.820446228,4.552055448,68.84966177,105.0380466
AGRICULTURAL BANK OF CHINA LTD/MACAO,China (mainland),Financials - Banking,0.654748345,B,6,88.64607409,58.06154052,2.128821333,1.250889098,7.161645382,High Risk,0.962464911,1.369953002,96.09227498,92.52875196
AGRICULTURAL BANK OF CHINA LTD/NEW YORK,China (mainland),Financials - Banking,4.591941809,B,6,76.06480238,143.9568589,0.888141851,1.297829657,1.354188498,Low Risk,5.892117235,2.525583592,51.81261588,101.8277852
AGRICULTURAL DEVELOPMENT BANK OF CHINA,China (mainland),SSA - Quasi-sovereigns,1.664509917,AAA,1,98.80069116,125.5133617,1.627463657,5.568183603,2.912937472,Low Risk,6.264638553,4.79345327,92.80651102,106.2943737
AGUAS ANDINAS SA,Chile,Corporate - Utilities,3.48135028,BBB,4,56.27751074,108.6623918,0.797438337,9.463786534,1.447106361,Low Risk,5.380795429,0.861980716,61.54088926,104.3432751
AIB GROUP PLC,Ireland,Financials - Banking,1.902699842,AAA,1,50.84738324,132.8438671,2.368862133,4.149977584,8.112305584,High Risk,6.621858857,3.598319628,92.43681639,102.3825754
AICHI PREFECTURE,Japan,SSA - Quasi-sovereigns,2.840306095,BBB,4,88.50791059,58.01867568,1.840622586,3.269421003,2.226492352,Low Risk,1.16180775,3.072405041,56.95983067,95.33987816
AIMCO REALTY INVESTORS LP,Canada,Financials - Real estate,2.960196257,BBB,4,90.35777687,97.68388777,2.833954915,6.066893232,7.174035554,High Risk,5.550185242,3.398375656,79.01094818,100.0410153
AIR LIQUIDE FINANCE,France,Corporate - Materials,1.33184505,A,3,56.01036146,113.0093127,1.161411443,9.304486005,9.432983972,High Risk,2.872125711,1.756098153,94.40539595,102.7257684
"AIR PRODUCTS AND CHEMICALS, INC.",United States,Corporate - Materials,4.863130825,B,6,63.27914165,132.8652906,0.993698175,8.369278328,5.277722091,Medium Risk,9.401760633,1.569396867,73.67698234,104.7506935
AIRPORT AUTHORITY,China (Hong Kong),SSA - Agencies,3.988097705,BB,5,50.87761817,128.346956,1.718996693,9.954836107,5.400291923,Medium Risk,7.620716534,3.421048353,87.32833369,104.539029
AKADEMISKA HUS AB,Sweden,Financials - Real estate,4.727745237,BBB,4,64.66543054,77.70692497,3.27975615,0.225685832,4.610335681,Medium Risk,9.725144822,1.077716426,90.23358089,95.89936973
AKBANK TÃœRK ANONIM SIRKETI,Turkey,Financials - Banking,4.526723077,A,3,88.6570937,144.088017,2.631265445,1.128581447,3.258901434,Medium Risk,0.375560697,2.098273724,86.82471044,103.0754762
AKER ASA,Norway,Financials - Financial services,3.190549905,B,6,75.89802639,62.43458414,1.756770874,6.094677634,4.756550309,Medium Risk,2.851331752,0.94087323,96.26648684,96.95464048
AKER HORIZONS AS,Norway,Financials - Financial services,4.648434058,BB,5,67.40477966,137.5133619,2.051816509,8.205764393,6.028075323,Medium Risk,1.954225866,0.041524206,72.34171153,104.3289005
AKERSHUS ENERGI AS,Norway,Corporate - Utilities,0.898216259,BBB,4,68.58696475,147.094025,0.752639034,2.852443423,9.859915722,High Risk,0.111545873,4.8502868,58.65627196,99.6225344
AKTIEBOLAGET SKF (PUBL),Sweden,Corporate - Industrials,1.381922881,BBB,4,50.06768129,67.71535232,3.453727689,2.39211088,9.377645593,High Risk,2.423257302,2.158514893,52.39055319,91.10064634
AKTIEBOLAGET SVENSK EXPORTKREDIT (PUBL),Sweden,SSA - Quasi-sovereigns,0.7035228,AAA,1,64.99002638,122.2066064,2.499221914,7.869757994,8.621529583,High Risk,6.787759835,4.846748072,62.32299348,102.7270748
ALANDSBANKEN ABP,Finland,Financials - Banking,1.963986488,AAA,1,82.32293708,54.02855188,1.356212205,0.563818539,8.891305357,High Risk,2.310889221,0.701617599,57.15987519,93.699126
ALD,France,Corporate - Consumer Discretionary,2.249047804,B,6,98.70972219,90.54228251,2.257425183,3.693826476,4.678491833,Medium Risk,5.090034455,2.936833897,77.89743707,98.04249837
ALERION CLEANPOWER SPA,Italy,Corporate - Utilities,1.721070643,BB,5,92.35304135,101.6283299,0.828447098,5.058092226,6.574443272,Medium Risk,8.87818115,1.004870164,59.24726686,100.6632
ALEXANDRIA REAL ESTATE EQUITIES INC,United States,Financials - Real estate,4.229318791,BBB,4,51.17974823,108.0645226,3.397510006,5.603486744,8.950667229,High Risk,6.937579203,3.950370635,51.94668536,97.58009897
ALGONQUIN POWER & UTILITIES CORP,Canada,Corporate - Utilities,2.10538997,B,6,94.92803023,143.5937248,1.024354964,7.286151568,3.92950765,Medium Risk,3.946290699,3.918514944,51.79949144,104.4263034
ALGONQUIN POWER CO,Canada,Corporate - Utilities,1.764205294,B,6,89.15992066,117.2250687,2.444090954,3.548457234,9.617624783,High Risk,3.724689389,0.563035745,91.57847492,99.07290561
ALIMENTATION COUCHE-TARD INC,Canada,Corporate - Consumer Staples,2.942132374,AA,2,89.01880618,98.12779512,1.236363388,6.126843447,4.157860621,Medium Risk,4.55735814,4.560322264,79.57249657,102.4882777
ALLIANDER FINANCE B.V.,Netherlands,Corporate - Utilities,1.134159012,AAA,1,72.89978795,130.9675036,2.652684148,5.853754228,6.010826654,Medium Risk,1.770414411,0.973148236,67.90426509,103.7945102
ALLIANDER N.V.,Netherlands,Corporate - Utilities,4.109886413,BB,5,69.90026465,145.0532821,2.830464102,5.476161007,7.098047133,High Risk,6.340007674,3.064886708,94.71140214,103.3243974
ALLIED PROPERTIES REAL ESTATE INVESTMENT TRUST,Canada,Financials - Real estate,0.835477897,BBB,4,65.14578644,52.20661487,2.520259187,6.404832931,9.505920131,High Risk,3.641528191,4.9281681,53.50983057,92.65587227
ALLREAL HOLDING AG,Switzerland,Financials - Real estate,4.940991215,B,6,53.28474295,148.2521272,2.343498381,2.594491711,2.446162741,Low Risk,8.523653493,4.411982674,99.01610364,102.4002323
ALPERIA SPA,Italy,Corporate - Utilities,3.975101462,BBB,4,61.41176817,58.61321391,3.177407282,0.846487536,7.461309782,High Risk,7.565526601,4.782819643,80.81458951,91.95450831
ALTERA SHUTTLE TANKERS LLC,Marshall Islands,Corporate - Industrials,1.394220567,AA,2,62.33018175,131.4386779,0.735880133,1.19271672,5.208155861,Medium Risk,6.105131641,1.712993856,59.1732127,101.295815
AMAG LEASING AG,Switzerland,Corporate - Consumer Discretionary,0.524849527,BB,5,74.20385349,78.03347526,1.492744297,2.245823827,2.685571406,Low Risk,3.642022226,0.527878211,83.95345495,96.75986302
AMEREN ILLINOIS CO,United States,Corporate - Utilities,4.169576428,B,6,87.37222033,63.21796578,1.244862439,5.001979355,7.766068398,High Risk,2.099318317,0.941734366,88.16906299,95.99587532
AMERIABANK,Armenia,Financials - Banking,3.680858047,BBB,4,73.69049142,93.98556397,3.464041886,8.404427505,5.522222802,Medium Risk,7.761518641,2.502474475,71.46713917,101.0096669
AMGEN INC.,United States,Corporate - Health Care,3.780532256,AAA,1,52.89222247,114.3956579,1.668169339,7.012933421,6.609738206,Medium Risk,4.86409099,3.966148391,93.08163031,103.254841
AMIPEACE LTD,Virgin Islands,Financials - Financial services,3.97071656,AA,2,97.88949005,88.0951845,2.697838098,7.890406042,3.229010686,Medium Risk,2.247500382,0.750768221,57.53662036,102.7267713
AMPRION GMBH,Germany,Corporate - Utilities,0.833200933,BB,5,97.13621595,55.45654083,2.554175492,3.509756239,4.812739518,Medium Risk,1.95174615,3.298657661,63.94187918,93.90477769
ANA HOLDINGS INC,Japan,Corporate - Consumer Discretionary,2.113095778,AA,2,89.25947716,109.946114,1.136243712,4.046537416,6.17354251,Medium Risk,1.654009045,1.61788802,54.67461808,101.1425002
ANALOG DEVICES INC,United States,Corporate - Technology,1.021410768,AAA,1,99.56639508,140.2403276,1.216993041,3.93681886,4.049108143,Medium Risk,7.771611962,1.706010362,60.54389203,106.4231179
ANEMUS WIND HOLDING SA,Brazil,Corporate - Utilities,4.383965416,BB,5,77.22411664,88.32153659,1.343853691,1.918731844,1.983725398,Low Risk,2.289871853,3.309588651,61.9364406,96.95261547
ANGLIAN WATER SERVICES FINANCING PLC,United Kingdom,Corporate - Utilities,3.304841571,AA,2,98.13841751,71.63327776,1.733381835,0.612166581,9.616404923,High Risk,5.266422635,2.334997098,95.88165955,96.47546965
ANHUI PROVINCE ENERGY GROUP CO LTD,China (mainland),Corporate - Utilities,1.989041112,A,3,53.78025203,94.25773459,1.202975197,5.909160928,5.1146754,Medium Risk,4.51546361,4.060166465,53.90548444,98.7193064
ANSTEEL GROUP MINING CO LTD,China (mainland),Corporate - Materials,0.786012576,AAA,1,68.28403741,54.8362711,0.558954448,9.892166834,7.339203703,High Risk,5.796108992,0.779592548,71.37075601,100.3737592
AOC I DIE STADTENTWICKLER GMBH,Germany,Financials - Real estate,1.899420448,AAA,1,61.2690634,132.0487584,3.13817917,1.66829705,4.110471936,Medium Risk,8.771549004,3.949741349,76.61993436,101.904256
AOZORA BANK LTD,Japan,Financials - Banking,1.963324949,AAA,1,59.79165421,132.6340811,3.396829494,0.466848199,3.55131764,Medium Risk,8.677473901,0.32117624,94.93465269,102.6431933
APPLE INC.,United States,Corporate - Technology,3.783227803,A,3,57.04014744,108.8000463,1.524711161,7.795316818,4.071642985,Medium Risk,4.510760718,0.970269401,99.88481093,103.9095651
AQUAFIN NV,Belgium,Corporate - Industrials,3.369008621,A,3,81.12068208,85.31028889,1.515520638,2.525860067,4.091966438,Medium Risk,0.153662507,3.280748573,87.66940575,98.02717029
ARAB PETROLEUM INVESTMENTS CORP,Supranationals,SSA - Supranationals,4.492457342,BBB,4,89.06609279,129.9783364,0.521275438,8.296438054,5.441801159,Medium Risk,4.264438057,4.274628283,98.53954953,106.2545646
ARBORG,Iceland,SSA - Quasi-sovereigns,2.624967163,B,6,78.91491997,105.4687025,2.540752065,7.03936667,5.4346987,Medium Risk,6.061935374,1.263398139,89.35505663,101.122636
ARCA CONTINENTAL BEBIDAS S DE RL DE CV,Mexico,Corporate - Consumer Staples,1.038174107,AA,2,57.34813548,132.5932309,2.976319687,9.456735371,4.971538159,Medium Risk,5.577647591,1.635958029,98.16013205,106.296187
ARÃ‡ELIK  AS,Turkey,Corporate - Consumer Discretionary,3.709601543,BBB,4,90.5561885,113.1458793,0.939824901,4.089272358,1.347857849,Low Risk,6.513361058,2.685603741,85.3635363,103.5040883
ARDAGH METAL PACKAGING FINANCE PLC,Ireland,Corporate - Materials,3.923532719,AA,2,81.79773536,128.4405473,0.978999048,6.619698395,4.960754785,Medium Risk,1.540757325,1.057864032,53.98817127,104.8506509
ARENDALS FOSSEKOMPANI A/S,Norway,Corporate - Utilities,3.025747389,B,6,69.40828531,109.8562993,2.87024975,4.648547808,1.691039004,Low Risk,6.465350988,4.055781308,70.09600935,99.48839586
ARGENTA SPAARBANK N.V.,Belgium,Financials - Banking,3.96935231,A,3,83.70651478,91.41410682,2.348872245,6.305886973,1.261357863,Low Risk,1.826516187,3.868183225,82.32986419,101.5054049
ARGOSY PROPERTY LTD,New Zealand,Financials - Real estate,2.722080184,B,6,62.99524896,145.794586,0.634581673,4.49598906,9.326457173,High Risk,7.505239807,0.72645856,67.53592547,101.9120862
ARION BANK HF,Iceland,Financials - Banking,2.852297732,A,3,67.25961042,104.1113825,2.367640971,1.886322464,6.049500131,Medium Risk,3.390876133,2.319148659,63.66919591,97.65668496
ARISE AB,Sweden,Corporate - Utilities,2.423934583,B,6,95.87429216,110.5089519,1.426753169,5.07897416,6.594900581,Medium Risk,7.098954334,3.874138833,78.86996336,100.4951939
ARKEMA SA,France,Corporate - Materials,0.61438607,BBB,4,64.52522528,72.04876394,1.606175466,5.285842014,4.017936703,Medium Risk,0.478655989,1.686647656,96.67509384,97.40710904
ARLA FOODS AMBA,Denmark,Corporate - Consumer Staples,0.985511421,BB,5,73.49941341,112.5650789,2.809194255,8.106038483,9.089808919,High Risk,4.078600256,3.165534114,51.74909368,99.39702709
ARRIVAL SA,Luxembourg,Corporate - Industrials,0.641431336,BBB,4,94.50705687,107.1607649,2.932805578,7.355207058,6.379304896,Medium Risk,7.050345223,0.251065607,88.46156018,102.9895382
ARTHALAND CORP,Philippines,Financials - Real estate,3.363846851,AA,2,85.38606751,68.48383979,1.701069881,6.637916239,7.691698695,High Risk,2.268705163,3.043443803,86.1363639,98.9440406
ARWIDSRO FASTIGHETS AB,Sweden,Financials - Real estate,1.914601915,BBB,4,53.11016131,55.95870974,3.341458808,1.133870956,3.68562469,Medium Risk,7.952870448,0.7632649,98.19767127,93.82497258
ASAHI GROUP HOLDINGS LTD,Japan,Corporate - Consumer Staples,2.78856811,AAA,1,57.36515221,110.435932,1.719388154,7.206162907,9.600118808,High Risk,6.307797331,4.152916626,96.53556112,102.4147034
ASAHI HOLDINGS INC,Japan,Corporate - Industrials,4.584049133,AA,2,50.39207954,126.3692269,2.815508106,5.003051564,8.204612902,High Risk,5.875617721,1.777247318,88.1116281,102.057243
ASAHI KASEI CORP,Japan,Corporate - Materials,1.621815031,B,6,81.54608951,102.3401371,1.951631794,8.940995361,8.53948463,High Risk,3.535488542,1.407769314,76.02043823,100.4642067
ASAHI PRINTING CO LTD,Japan,Corporate - Materials,2.346723154,AA,2,72.38367127,72.67726253,3.19259698,9.198709341,1.721942674,Low Risk,4.824514704,4.204444884,60.21337766,100.5814007
ASCENDAS REAL ESTATE INVESTMENT TRUST,Singapore,Financials - Real estate,3.899980123,BB,5,56.71374255,116.6521977,3.223283731,0.551565906,2.709632079,Low Risk,5.97349301,0.250720115,77.26178592,98.38197291
ASE TECHNOLOGY HOLDING CO LTD,Taiwan,Corporate - Technology,1.529591745,A,3,97.89670605,58.01057266,0.762250424,8.206415604,2.856265997,Low Risk,4.724621139,1.983043997,88.2675997,101.210196
ASIAN DEVELOPMENT BANK,Supranationals,SSA - Supranationals,0.846409594,B,6,76.4829862,94.18337048,3.309479994,0.376973904,2.709092232,Low Risk,6.983133239,1.850017703,94.78346063,96.32317175
ASJA AMBIENTE ITALIA,Italy,Corporate - Energy,1.803881538,AA,2,62.09466471,66.33667584,2.976604525,3.671696257,8.554081621,High Risk,4.336969331,1.424001871,89.48560046,95.62651487
ASML HOLDING N.V.,Netherlands,Corporate - Technology,1.225495793,B,6,75.03017856,68.44590511,2.873932143,5.422999756,0.318847952,Low Risk,2.022731817,4.55877166,59.76334676,95.48686684
ASSICURAZIONI GENERALI S.P.A.,Italy,Financials - Insurance,4.683639436,B,6,83.98101664,70.22939492,1.102734019,1.481007986,0.76099989,Low Risk,2.139337828,3.754641968,79.98431571,95.686956
ATENOR,Belgium,Financials - Real estate,4.136541708,B,6,53.8119609,88.6707057,2.915357626,7.463138126,2.739148706,Low Risk,0.058037688,0.319615821,66.60867298,98.22033239
ATHON ENERGIA SA,Brazil,Corporate - Energy,3.350316904,A,3,63.73519075,55.11502056,3.050398204,0.083547042,1.998729746,Low Risk,3.009577156,3.573437247,50.46028337,92.18694131
ATHON GERACAO DISTRIBUIDA SA,Brazil,Corporate - Energy,4.421572656,BBB,4,90.34827454,89.77934409,1.367451003,1.685990484,2.318596139,Low Risk,7.489176405,2.636495666,60.01104679,98.9303566
ATLANTICA SUSTAINABLE INFRASTRUCTURE JERSEY LTD,Jersey,Corporate - Utilities,4.116524346,B,6,72.98324352,101.1707447,3.356780235,5.807968299,7.979431893,High Risk,7.941627088,4.504339472,55.6610325,97.2827603
ATLANTICA YIELD PLC,United Kingdom,Corporate - Utilities,1.339565265,AAA,1,77.3288571,98.3294285,0.649580439,7.14387562,5.631265939,Medium Risk,2.024675421,1.564728087,92.13595618,103.49704
ATRIUM FINANCE PLC,Cyprus,Financials - Specialty finance,4.516515493,BB,5,71.64080011,88.27841004,0.94972776,9.166431027,0.057706613,Low Risk,9.590439969,2.870809998,62.92531261,103.1052096
ATRIUM LJUNGBERG AB,Sweden,Financials - Real estate,2.927040089,A,3,52.19499713,133.9146608,2.112743414,7.054966519,4.293227657,Medium Risk,5.024027935,2.503776374,64.23489844,103.6856057
ATSINAUIJINANCIOS ENERGETIKOS INVESTICIJOS UAB,Lithuania,Corporate - Utilities,4.133480698,AA,2,58.28748899,64.53266924,2.227377413,6.717792703,4.078849269,Medium Risk,9.16978749,2.447804531,97.99682859,99.92189912
ATTISTIBAS FINANSU INSTITUCIJA ALTUM JSC,Latvia,SSA - Agencies,4.53241085,A,3,72.27708194,100.5696744,2.43545025,3.943411464,1.139452694,Low Risk,7.067652819,2.280526998,68.95433615,101.2433081
AUCKLAND COUNCIL,New Zealand,SSA - Quasi-sovereigns,1.931015637,AA,2,60.45927327,56.2041417,0.550907388,0.012844255,6.761417886,Medium Risk,7.22433423,1.028147378,50.47928201,93.43278149
AUDAX RENOVABLES SA,Spain,Corporate - Utilities,0.99523366,A,3,52.49895143,57.11556789,3.381100324,1.201592587,7.020971884,High Risk,0.850436213,3.778549612,64.19230742,90.54791268
AUGA GROUP AB,Lithuania,Corporate - Consumer Staples,1.525708231,AA,2,92.1824832,107.386585,0.633764278,5.345545448,7.208932191,High Risk,2.199911269,2.256680164,55.96497903,101.6219678
AUGSTSPRIEGUMA TIKLS AS,Latvia,Corporate - Utilities,2.421985049,B,6,99.05962646,106.6018425,0.929185858,6.751298858,7.284709456,High Risk,0.088148333,4.792581375,55.14042809,99.31264657
AURSKOG SPAREBANK,Norway,Financials - Banking,4.181066447,BBB,4,89.6571437,137.8033513,0.542043553,4.174482839,0.000528269,Low Risk,7.161276405,1.304042136,53.87436451,105.8929042
AUSTRIA (REPUBLIC OF),Austria,SSA - Sovereigns,4.373287625,AA,2,92.68924609,105.7873676,2.2005753,7.306790115,9.539208038,High Risk,3.444382884,3.413719198,79.66297351,102.3266851
AUTOLIV INC.,Sweden,Corporate - Consumer Discretionary,0.531284587,AA,2,62.09885652,145.979102,3.296800652,5.218622953,8.142087671,High Risk,7.866525161,4.703585398,59.46738618,102.412648
AUTOWALLIS NYRT,Hungary,Financials - Financial services,2.798362862,AAA,1,98.03134878,54.86948484,2.497841498,0.741761956,9.039816966,High Risk,3.389362199,3.317291615,68.0621397,94.01921088
AVALONBAY COMMUNITIES INC,United States,Financials - Real estate,2.378349514,AA,2,59.84628522,59.80076848,2.967972405,1.92016251,0.156432953,Low Risk,8.193337523,4.356364538,93.10088581,96.4862277
AVANGRID INC,United States,Corporate - Utilities,1.499485147,AAA,1,97.57149052,54.40658616,0.53984361,8.399982232,9.338587958,High Risk,1.306982537,4.137404799,71.21690699,98.7756313
